,A,B-1,B-2,C-1,C-2,D,E,F,G,H-1,H-2
GTEX-13OVG-0326-SM-5KM57,-0.516243368627966,0.611632094816217,-0.547716764417222,0.44846526467035,0.0419584654287135,1.0885521666265,-0.227644607359291,0.464343331223251,0.0192076442374936,-2.29784143330425,3.00656292813765
GTEX-13OVH-1026-SM-5J2NP,-1.12016598209099,0.396915572486519,0.772659041805391,0.220142315134058,-1.26477851721956,-0.650373320042997,0.435525248083123,-0.0197500365080798,1.1784384345736,-2.66938380515069,3.0237463166276
GTEX-13OVJ-0726-SM-5KM1W,0.651707216761954,-0.354068823694228,0.714873506025046,-0.784184859407244,1.18840054520784,-0.428500105214584,0.345408198063443,0.269552556184008,0.519738010461857,6.13044525186618,-4.81821232080688
GTEX-13OVL-0626-SM-5KM13,-0.177552199921331,-0.98920419495085,0.606554577386416,0.643543807695474,-0.6561553204358,-0.561841802027316,-0.881925160768551,0.656144524222025,0.517834320297023,-3.35386149983226,3.24074490616387
GTEX-13OW5-0726-SM-5KLZK,-0.0856750572524087,-0.540248004423358,0.1158653599829,-0.290147214091167,-0.840322908027157,0.107450581493731,-0.830126330626258,0.424416711181958,0.787691235157508,-2.95399160627836,2.8294871126883
GTEX-13OW6-0826-SM-5L3GA,-0.669983341012613,0.567228855753373,0.232237806446351,1.12160455732881,-1.17486301335364,0.585266500960972,0.758499230323163,0.72184587487578,1.04600635930364,-2.50167603854741,2.89459414266074
GTEX-13OW7-0926-SM-5L3EX,-0.911006099353674,-1.01702288425972,0.754279177930421,1.36617099962136,-2.2285929677661,-0.770332484557615,-1.15507084078838,1.21733969597408,-0.510509068562786,-2.34042912166161,3.23103458718691
GTEX-13OW8-1726-SM-5L3GO,-0.809805619428731,0.637186722916969,-0.13787263738836,0.270632871305818,-1.32265898392134,0.405893979897675,1.57409250254749,0.645470544653137,-0.204666168968518,-3.3116087348203,3.19471076846543
GTEX-13PL7-1726-SM-5J2NX,0.840273368453665,0.666364363894644,-0.428028379544213,0.00616945832079972,-2.4192499677023,-0.5256580204845,0.391655745410406,0.279417357326937,-0.385886418595316,6.24092791409661,-5.94327195275888
GTEX-13PVQ-0926-SM-5IJFD,-0.770858563290109,-0.648141315384604,0.451497396450081,-0.600016667636339,1.28336706226305,0.623510329436509,-0.0961705925049964,-1.0669881294705,0.541109684291411,-2.68068592003687,2.94032912912436
GTEX-13QBU-0726-SM-5J2OA,-0.928610882743607,0.590168449289194,-0.244170604290727,-0.265294621822571,-1.60698552653885,-0.623762409607981,-1.61076374612839,0.0963154178765415,-0.466502327695854,7.37494260888096,-6.31653151833167
GTEX-13QJ3-1026-SM-5QGQU,0.541910986842463,-0.643388815003665,0.0156982192164765,-0.32914341168824,0.0801607082941045,-0.0965164530287778,0.768381365579399,-0.0952010169655565,-0.0111242343329984,-3.21499886657419,2.79754349867205
GTEX-13QJC-0526-SM-5RQKB,0.0695343670015107,0.283186404640836,-0.158800759863821,-0.362851372266126,-0.414283978473938,0.0722533291437261,1.28870267368961,-0.0308628682126785,-0.458860879843405,6.89514151757506,-6.79005516313105
GTEX-13RTJ-1126-SM-5S2UJ,0.559998513907544,0.140971223873719,0.197225670845857,-1.51192265264157,-0.447343302001116,-0.526726893659358,0.602814059876945,-0.219913178765241,-0.168379339217343,-3.65328167688421,3.01842925022516
GTEX-13S7M-2126-SM-5S2QR,-0.944518209416123,0.461259239860998,0.571409740581683,1.43222350518564,0.286666230654396,0.480376984200421,0.604584936164049,-0.0481234220273915,-0.0429303724872791,6.33653329660955,-6.07810635616015
GTEX-13S86-0626-SM-5Q5E7,-0.99478673220852,0.344177992934482,-0.0528604268432316,-0.0391321723681689,-1.19873834639976,0.991351547801667,0.376697046951589,0.197412016480529,0.590054273347696,-2.76171463021844,2.72764135578996
GTEX-13SLW-1226-SM-5S2Q7,0.467222348630674,-0.848127636863319,0.0771460430691524,-1.18649581578679,2.10405345057202,0.271784739652279,-1.66684399974871,-0.459483376025009,-0.643193804399579,-3.6188856972966,2.77044037549348
GTEX-13U4I-1426-SM-5J2M3,-0.34673149856677,0.537812920909056,-0.191066633788135,-0.932321533730071,2.0686030056938,-0.534313771346598,0.699939543376053,-0.0598373086820471,0.937665842158443,6.6182959971253,-6.20767302969767
GTEX-13VXT-1426-SM-5LU4B,1.24667471233171,0.677978702286313,-0.647891336075469,0.486548747377928,-0.782750061904341,0.459890045906988,0.422008430845306,0.375076681776079,-0.418546574484587,6.90030091451026,-6.18774365887302
GTEX-13VXU-2726-SM-5LU4N,-0.720748880456199,-0.707233926720574,0.882730430112096,0.897838185902207,-0.838620526150598,0.691342580166643,-0.55315733278624,1.70035837884976,7.62161096856118e-05,-0.71134331585107,3.2044024723004
GTEX-13W3W-0326-SM-731DS,0.539573590838539,0.701134611388114,-0.530571819575477,0.353770349552672,0.414354343150868,1.03733300870345,0.360618337457297,-0.639970347007529,-0.252542753973974,7.29495200010827,-6.00896387543885
